rank,journal_name_raw,journal_name_standard,match_note,cas_2025_zone,cas_2025_top,cas_2025_oa,cas_2025_major_category,cas_2025_minor_category_reference,jcr_2024_jif,jcr_2024_quartile,issn,eissn,publisher,xr_2026_zone,xr_2026_top,xr_2026_major_category,xr_2026_minor_category_reference,source_note
63,International Journal of Communication,INTERNATIONAL JOURNAL OF COMMUNICATION,,Zone 2,否,是,文学,COMMUNICATION(SSCI),1.5,Q2,,,,Zone 2,No,Literature and Language,COMMUNICATION(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
64,Drug and Alcohol Dependence,DRUG AND ALCOHOL DEPENDENCE,,Zone 2,否,否,医学,"PSYCHIATRY(SCIE, SSCI);SUBSTANCE ABUSE(SCIE, SSCI)",3.6,Q1,,,,Zone 2,Yes,Medicine,"PSYCHIATRY(SCIE, SSCI);SUBSTANCE ABUSE(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
65,Journal of Autism and Developmental Disorders,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,,Zone 3,否,否,心理学,"PSYCHOLOGY, DEVELOPMENTAL(SSCI)",2.8,Q2,,,,Zone 2,No,Psychology,"PSYCHOLOGY, DEVELOPMENTAL(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
66,Journal of Clinical Nursing,JOURNAL OF CLINICAL NURSING,,Zone 3,否,否,医学,"NURSING(SCIE, SSCI)",3.5,Q1,,,,Zone 2,Yes,Medicine,"NURSING(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
67,Journal of the American Geriatrics Society,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,,Zone 2,否,否,医学,GERIATRICS & GERONTOLOGY(SCIE);GERONTOLOGY(SSCI),4.5,Q1,,,,Zone 2,Yes,Medicine,GERIATRICS & GERONTOLOGY(SCIE);GERONTOLOGY(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
68,Ciencia & Saude Coletiva,CIENCIA & SAUDE COLETIVA,,Zone 4,否,是,医学,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",1.2,Q4,,,,Zone 4,No,Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
69,Journal of Interpersonal Violence,JOURNAL OF INTERPERSONAL VIOLENCE,,Zone 3,否,否,心理学,"CRIMINOLOGY & PENOLOGY(SSCI);FAMILY STUDIES(SSCI);PSYCHOLOGY, APPLIED(SSCI)",2.3,Q1,,,,Zone 2,No,Psychology,"CRIMINOLOGY & PENOLOGY(SSCI);FAMILY STUDIES(SSCI);PSYCHOLOGY, APPLIED(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
70,Environmental Impact Assessment Review,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,,Zone 1,是,否,社会学,ENVIRONMENTAL STUDIES(SSCI),11.2,Q1,01959255,-,Elsevier Inc.,Zone 1,Yes,Social Sciences,ENVIRONMENTAL STUDIES(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
71,Patient Education and Counseling,PATIENT EDUCATION AND COUNSELING,,Zone 3,否,否,医学,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",3.1,Q1,,,,Zone 2,No,Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
72,Business Strategy and the Environment,BUSINESS STRATEGY AND THE ENVIRONMENT,,Zone 1,是,否,管理学,BUSINESS(SSCI);ENVIRONMENTAL STUDIES(SSCI);MANAGEMENT(SSCI),13.3,Q1,,,,Zone 1,Yes,Management Science,BUSINESS(SSCI);ENVIRONMENTAL STUDIES(SSCI);MANAGEMENT(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
73,Journal of Pediatric Nursing-Nursing Care of Children & Families,JOURNAL OF PEDIATRIC NURSING-NURSING CARE OF CHILDREN & FAMILIES,,Zone 3,否,否,医学,"NURSING(SCIE, SSCI);PEDIATRICS(SCIE)",2.3,Q1,,,,Zone 3,No,Medicine,"NURSING(SCIE, SSCI);PEDIATRICS(SCIE)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
